Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
93.264,Nurse Faculty Loan Program (NFLP),2007,Department of Health and Human Services,4592465.00,,-4592465.00,-1.00
10.417,Very Low-Income Housing Repair Loans and Grants,2007,Department of Agriculture,36800000.00,,-36800000.00,-1.00
10.444,Direct Housing_Natural Disaster Loans and Grants,2007,Department of Agriculture,61300.00,,-61300.00,-1.00
10.760,Water and Waste Disposal Systems for Rural Communities,2007,Department of Agriculture,990000000.00,1129611007.00,139611007.00,0.14
10.766,Community Facilities Loans and Grants,2007,Department of Agriculture,527000000.00,557701042.00,30701042.00,0.06
10.770,Water and Waste Disposal Loans and Grants (Section 306C),2007,Department of Agriculture,0.00,0.00,0.00,0.00
10.854,Rural Economic Development Loans and Grants,2007,Department of Agriculture,36130000.00,25427000.00,-10703000.00,-0.30
10.855,Distance Learning and Telemedicine Loans and Grants,2007,Department of Agriculture,127914000.00,31910352.00,-96003648.00,-0.75
10.858,Denali Commmission Grants and Loans,2007,Department of Agriculture,15000000.00,,-15000000.00,-1.00
59.051,New Markets Venture Capital Program,2007,Small Business Administraton,210000.00,,-210000.00,-1.00
93.220,Clinical Research Loan Repayment Program for Individuals from Disadvantaged Backgrounds,2007,Department of Health and Human Services,300070.00,,-300070.00,-1.00
93.232,Loan Repayment Program for General Research,2007,Department of Health and Human Services,4090289.00,,-4090289.00,-1.00
93.936,National Institutes of Health Acquired Immunodeficiency Syndrome Research Loan Repayment Program,2007,Department of Health and Human Services,193531.00,0.00,-193531.00,-1.00
93.280,National Institutes of Health Loan Repayment Program for Clinical Researchers,2007,Department of Health and Human Services,42202000.00,,-42202000.00,-1.00
93.285,National Institutes of Health Pediatric Research Loan Repayment Program,2007,Department of Health and Human Services,17328000.00,,-17328000.00,-1.00
10.051,Commodity Loans and Loan Deficiency Payments,2007,Department of Agriculture,9493383881.00,7031159022.00,-2462224859.00,-0.26
64.116,Vocational Rehabilitation for Disabled Veterans,2007,Department of Veterans Affairs,2403000.00,,-2403000.00,-1.00
10.056,Farm Storage Facility Loans,2007,Department of Agriculture,1238327.00,34950270.00,33711943.00,27.22
10.404,Emergency Loans,2007,Department of Agriculture,69788000.00,,-69788000.00,-1.00
10.406,Farm Operating Loans,2007,Department of Agriculture,1669110000.00,,-1669110000.00,-1.00
10.407,Farm Ownership Loans,2007,Department of Agriculture,1422750000.00,,-1422750000.00,-1.00
10.410,Very Low to Moderate Income Housing Loans,2007,Department of Agriculture,4453687000.00,,-4453687000.00,-1.00
10.411,Rural Housing Site Loans and Self_Help Housing Land Development Loans,2007,Department of Agriculture,3020000.00,2450899.00,-569101.00,-0.19
10.421,Indian Tribes and Tribal Corporation Loans,2007,Department of Agriculture,3960000.00,,-3960000.00,-1.00
10.445,Direct Housing_Natural Disaster,2007,Department of Agriculture,0.00,,0.00,0.00
10.449,Boll Weevil Eradication Loan Program,2007,Department of Agriculture,59400000.00,,-59400000.00,-1.00
10.767,Intermediary Relending Program,2007,Department of Agriculture,33869875.00,33869875.00,0.00,0.00
10.775,Renewable Energy Systems and Energy Efficiency Improvements Program,2007,Department of Agriculture,76399865.00,65162868.00,-11236997.00,-0.15
