CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
23.001,Appalachian Regional Development (See individual Appalachian Programs),consistency,65451568.00,
23.002,Appalachian Area Development,consistency,65451568.00,
23.003,Appalachian Development Highway System,consistency,375672092.00,
23.009,Appalachian Local Development District Assistance,consistency,6705018.00,
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,1290750.00,
94.002,Retired and Senior Volunteer Program,completeness,56870000.00
94.003,State Commissions,completeness,11789999.00
94.006,AmeriCorps,completeness,252590695.00
94.007,Program Development and Innovation Grants,consistency,1.00,31865102.00
94.011,Foster Grandparent Program,completeness,108574000.00
94.016,Senior Companion Program,completeness,45494000.00
94.017,Senior Demonstration Program,consistency,333000.00,
90.201,Delta Area Economic Development,consistency,8000000.00,
90.202,Delta Local Development District Assistance,consistency,396000.00,
90.300,Japan-U.S. Friendship Commission Grants,consistency,1600000.00,
90.400,Help America Vote College Program,completeness,750000.00
90.500,International Broadcasting Independent Grantee Organizations,consistency,232785000.00,
10.222,Tribal Colleges Endowment Program,consistency,3669843.00,
10.553,School Breakfast Program,consistency,2568996185.00,
10.555,National School Lunch Program,consistency,8983711452.00,250000.00
10.556,Special Milk Program for Children,consistency,1436574.00,
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",consistency,6985791742.00,2541120023.00
10.558,Child and Adult Care Food Program,consistency,2451682273.00,2878411.00
10.559,Summer Food Service Program for Children,consistency,356332519.00,
10.560,State Administrative Expenses for Child Nutrition,timeliness,174133982.00
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,consistency,2723000000.00,4099494898.00
10.565,Commodity Supplemental Food Program,consistency,165463692.00,31358686.00
10.568,Emergency Food Assistance Program (Administrative Costs),timeliness,74500000.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,350000000.00,16343.00
10.664,Cooperative Forestry Assistance,consistency,115959000.00,285831376.00
10.665,Schools and Roads - Grants to States,consistency,450000000.00,235283.00
10.666,Schools and Roads - Grants to Counties,consistency,14302724.00,89000.00
10.001,Agricultural Research_Basic and Applied Research,consistency,23616205.00,129567547.00
10.168,Farmers' Market Promotion Program,timeliness,4970000.00
10.170,Specialty Crop Block Grant Program - Farm Bill,consistency,48990000.00,2639631.00
10.206,Grants for Agricultural Research_Competitive Research Grants,consistency,0.00,97899438.00
10.216,1890 Institution Capacity Building Grants,consistency,0.00,338644.00
10.219,Biotechnology Risk Assessment Research,consistency,2391511.00,3714643.00
10.220,Higher Education Multicultural Scholars Program,consistency,0.00,1456000.00
10.290,Agricultural Market and Economic Research,consistency,616000.00,33000.00
10.308,Resident Instruction Grants for Insular Area Activities,completeness,765500.00
10.309,Specialty Crop Research Initiative,consistency,46653354.00,91388205.00
10.310,Agriculture and Food Research Initiative (AFRI) ,consistency,143804230.00,49808783.00
10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI),consistency,19136786.00,50089775.00
10.417,Very Low-Income Housing Repair Loans and Grants,consistency,31205527.00,12022116.00
10.420,Rural Self-Help Housing Technical Assistance,completeness,26800000.00
10.433,Rural Housing Preservation Grants,completeness,10088166.00
10.435,State Mediation Grants,timeliness,4369000.00
10.444,Direct Housing_Natural Disaster Loans and Grants,consistency,0.00,3937231.00
10.446,Rural Community Development Initiative,consistency,4241055.00,
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),consistency,101165955.00,211323.00
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,consistency,500000.00,84400.00
10.479,Food Safety Cooperative Agreements,consistency,9302882.00,
10.576,Senior Farmers Market Nutrition Program,consistency,20600000.00,2317781.00
10.579,Child Nutrition Discretionary Grants Limited Availability,timeliness,100000000.00
10.582,Fresh Fruit and Vegetable Program ,consistency,65000000.00,
10.672,"Rural Development, Forestry, and Communities",consistency,850000.00,14657950.00
10.675,Urban and Community Forestry Program,consistency,29541000.00,7911472.00
