CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
23.002,Appalachian Area Development,consistency,58917132.00
23.003,Appalachian Development Highway System,consistency,423820097.00
23.009,Appalachian Local Development District Assistance,consistency,6134562.00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,763536.00
94.002,Retired and Senior Volunteer Program,consistency,59685000.00
94.003,State Commissions,consistency,12516000.00
94.004,Learn and Serve America_School and Community Based Programs,consistency,25616000.00
94.005,Learn and Serve America_Higher Education,consistency,8539000.00
94.006,AmeriCorps,consistency,258960000.00
94.007,Planning and Program Development Grants,consistency,9029000.00
94.011,Foster Grandparent Program,consistency,110943000.00
94.016,Senior Companion Program,consistency,46964000.00
94.009,Training and Technical Assistance,consistency,9029000.00
90.100,Denali Commission Program,consistency,111000000.00
90.201,Delta Area Economic Development,consistency,8015805.00
90.202,Delta Local Development District Assistance,consistency,396000.00
90.300,Japan-US Friendship Commission Grants,consistency,2655000.00
90.500,International Broadcasting Independent Grantee Organizations,consistency,200228000.00
10.202,Cooperative Forestry Research,consistency,28356226.00
10.203,Payments to Agricultural Experiment Stations Under the Hatch Act,consistency,304477264.00
10.205,Payments to 1890 Land-Grant Colleges and Tuskegee University,consistency,38366135.00
10.207,Animal Health and Disease Research,consistency,4651359.00
10.222,Tribal Colleges Endowment Program,consistency,3119628.00
10.500,Cooperative Extension Service,consistency,431247815.00
10.555,National School Lunch Program,consistency,7836173913.00
10.556,Special Milk Program for Children,consistency,14224678.00
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",consistency,5547776650.00
10.558,Child and Adult Care Food Program,consistency,2303732494.00
10.559,Summer Food Service Program for Children,consistency,297932607.00
10.560,State Administrative Expenses for Child Nutrition,consistency,162843624.00
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,consistency,2508553167.00
10.565,Commodity Supplemental Food Program,consistency,107828081.00
10.568,Emergency Food Assistance Program (Administrative Costs),consistency,58026690.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,130640006.00
10.572,WIC Farmers' Market Nutrition Program (FMNP),consistency,22109323.00
10.664,Cooperative Forestry Assistance,consistency,40069200.00
10.680,Forest Health Protection,consistency,40000000.00
10.221,Tribal Colleges Education Equity Grants,consistency,3342000.00
10.553,School Breakfast Program,consistency,2228842422.00
10.001,Agricultural Research_Basic and Applied Research,consistency,20295111.00
10.025,"Plant and Animal Disease, Pest Control, and Animal Care",consistency,164399210.00
10.028,Wildlife Services,consistency,365000.00
