CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,1045036.00,4857745.00
23.009,Appalachian Local Development District Assistance,timeliness,7288755.00
23.001,Appalachian Regional Development (See individual Appalachian Programs),consistency,66846961.00,
23.003,Appalachian Development Highway System,consistency,366260207.00,240000.00
23.002,Appalachian Area Development,timeliness,66846961.00
94.021,Volunteer Generation Fund,consistency,10000000.00,3957411.00
90.403,U.S. Election Assistance Commission Research Grants,consistency,0.00,8463074.00
90.400,Help America Vote College Program,consistency,750000.00,-3748.00
90.300,Japan-U.S. Friendship Commission Grants,consistency,1600000.00,
90.100,Denali Commission Program,consistency,40000000.00,-103811.00
10.665,Schools and Roads - Grants to States,consistency,415813000.00,11006900.00
10.222,Tribal Colleges Endowment Program,consistency,4134719.00,
10.559,Summer Food Service Program for Children,consistency,376829000.00,58055676.00
10.558,Child and Adult Care Food Program,consistency,2732119000.00,474018501.00
10.553,School Breakfast Program,consistency,3075846000.00,
10.555,National School Lunch Program,consistency,10320844000.00,15796445796.00
10.556,Special Milk Program for Children,consistency,12381000.00,
10.565,Commodity Supplemental Food Program,consistency,196444000.00,40752371.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,228400000.00,
10.103,2009 Aquaculture Grant Program,consistency,20000000.00,
10.500,Cooperative Extension Service,consistency,285897060.00,505300177.00
10.104,Poultry Loss Contract Grant Assistance Program,consistency,60000000.00,
10.666,Schools and Roads - Grants to Counties,consistency,23360886.00,822894.00
10.678,Forest Stewardship Program,consistency,29369000.00,10996510.00
10.675,Urban and Community Forestry Program,consistency,30204000.00,13717246.00
10.672,"Rural Development, Forestry, and Communities",consistency,0.00,2660910.00
10.695,Eastern Nevada Landscape Restoration Project (ENLRP),consistency,335000.00,
10.219,Biotechnology Risk Assessment Research,consistency,1802018.00,4061862.00
10.859,Assistance to High Energy Cost Rural Communities,consistency,15000000.00,1675000.00
10.685,Community Wood Energy Program,consistency,5000000.00,
10.684,International Forestry Programs,consistency,6400000.00,10304602.00
10.689,Community Forest and Open Space Conservation Program (CFP),consistency,1000000.00,
10.206,Grants for Agricultural Research_Competitive Research Grants,consistency,0.00,-814520.00
10.443,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,consistency,19000000.00,-12428.00
10.441,Technical and Supervisory Assistance Grants,timeliness,0.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),consistency,81355314.00,
10.308,Resident Instruction Grants for Insular Area Activities,consistency,861232.00,1575491.00
10.310,Agriculture and Food Research Initiative (AFRI) ,consistency,244109220.00,380553451.00
10.787,Broadband Initiatives Program,consistency,0.00,-123601302.00
10.780,Community Facilities Loans and Grants,consistency,0.00,-1519204.00
10.766,Community Facilities Loans and Grants,consistency,16224882.00,
10.760,Water and Waste Disposal Systems for Rural Communities,consistency,440950610.00,
10.567,Food Distribution Program on Indian Reservations,consistency,0.00,37279426.00
10.961,Scientific Cooperation and Research,consistency,196095.00,
10.777,Norman E. Borlaug International Agricultural Science and Technology Fellowship,consistency,1033276.00,
10.773,Rural Business Opportunity Grants,consistency,2500000.00,5470126.00
10.576,Senior Farmers Market Nutrition Program,timeliness,22102289.00
10.574,Team Nutrition Grants,consistency,15613000.00,6585235.00
10.579,Child Nutrition Discretionary Grants Limited Availability,consistency,29821000.00,45034669.00
10.168,Farmers' Market Promotion Program,consistency,9926000.00,
10.170,Specialty Crop Block Grant Program - Farm Bill,consistency,54975081.00,103452068.00
10.001,Agricultural Research_Basic and Applied Research,consistency,22290591.00,137994817.00
10.322,Distance Education Grants for Institutions of Higher Education in Insular Areas,consistency,718560.00,
10.614,Scientific Cooperation Exchange Program with China,consistency,317127.00,
10.612,USDA Local and Regional Food Aid Procurement Pilot Project,consistency,23000000.00,
10.613,Faculty Exchange Program,consistency,99968.00,
10.435,State Mediation Grants,consistency,3634000.00,412021.00
10.923,Emergency Watershed Protection Program,consistency,53774042.00,19109264.00
10.771,Rural Cooperative Development Grants,consistency,79000000.00,10453040.00
10.417,Very Low-Income Housing Repair Loans and Grants,consistency,31244176.00,
10.250,"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",consistency,5182000.00,2324295.00
10.652,Forestry Research,consistency,11451874.00,19221485.00
10.479,Food Safety Cooperative Agreements,consistency,4150463.00,
10.089,Livestock Forage Disaster Program,completeness,211977371.00
10.856,1890 Land Grant Institutions Rural Entrepreneurial Outreach Program,consistency,750000.00,
10.088,Livestock Indemnity Program,completeness,23894000.00
10.069,Conservation Reserve Program,completeness,1938872000.00
10.448,Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,consistency,12000000.00,
10.998,"Long Term Standing Agreements for Storage, Transportation, and Lease",consistency,114543144.00,
10.054,Emergency Conservation Program,completeness,64318000.00
10.055,Direct and Counter-cyclical Payments Program,completeness,4868917000.00
10.313,Veterinary Medicine Loan Repayment Program ,consistency,4230157.00,
10.960,Technical Agricultural Assistance,consistency,36082324.00,
10.605,Quality Samples Program ,completeness,1694142.00
10.604,Technical Assistance for Specialty Crops Program,consistency,9000000.00,3583047.00
10.601,Market Access Program,completeness,200000000.00
10.600,Foreign Market Development Cooperator Program,completeness,34500000.00
10.603,Emerging Markets Program,consistency,10000000.00,4239663.00
