CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
10.051,Commodity Loans and Loan Deficiency Payments,timeliness,9509047023.00
10.450,Crop Insurance,completeness,6569971000.00
93.770,Medicare_Prescription Drug Coverage,completeness,43740793000.00
93.773,Medicare_Hospital Insurance,completeness,223304091000.00
93.774,Medicare_Supplementary Medical Insurance,completeness,187255712000.00
14.138,Mortgage Insurance_Rental Housing for the Elderly,timeliness,0.00
15.124,Indian Loans_Economic Development,completeness,84172203.00
20.223,Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,timeliness,2391000000.00
31.007,Export - Loan Guarantee/Insured Loans,timeliness,14398900000.00
44.002,Community Development Revolving Loan Fund Program for Credit Unions,timeliness,2500000.00
