CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
10.405,Farm Labor Housing Loans and Grants,consistency,37000000.00,13606447.00
10.444,Direct Housing_Natural Disaster Loans and Grants,consistency,5000.00,193731.00
10.411,Rural Housing Site Loans and Self_Help Housing Land Development Loans,consistency,10015000.00,
10.445,Direct Housing_Natural Disaster,consistency,20000000.00,435886856.00
10.449,Boll Weevil Eradication Loan Program,consistency,100000000.00,
10.099,Conservation Loans ,consistency,150000000.00,5085770.00
10.437,Interest Assistance Program,consistency,170000000.00,
10.865,Biorefinery Assistance,consistency,189848.00,54500000.00
84.268,Federal Direct Student Loans,consistency,88359000000.00,7906813463296.00
84.409,Civil Legal Assistance Attorney Student Loan Repayment Program,consistency,5000000.00,
84.032,Federal Family Education Loans,consistency,66964000000.00,
81.126,Federal Loan Guarantees for Innovative Energy Technologies,consistency,1090000000.00,
93.264,Nurse Faculty Loan Program (NFLP),consistency,23480276.00,
93.342,"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",consistency,20171302.00,
93.364,Nursing Student Loans,consistency,1073242.00,
14.110,Manufactured Home Loan Insurance_Financing Purchase of Manufactured Homes as Principal Residences of Borrowers,consistency,120000000.00,
14.117,Mortgage Insurance_Homes,consistency,299953826000.00,
14.128,Mortgage Insurance_Hospitals,consistency,3450000000.00,
14.129,"Mortgage Insurance_Nursing Homes, Intermediate Care Facilities, Board and Care Homes and Assisted Living Facilities",consistency,2650000000.00,
14.135,"Mortgage Insurance_Rental and Cooperative Housing for Moderate Income Families and Elderly, Market Interest Rate",consistency,118000000.00,
14.142,Property Improvement Loan Insurance for Improving All Existing Structures and Building of New Nonresidential Structures,consistency,60000000.00,
14.151,Supplemental Loan Insurance_Multifamily Rental Housing,consistency,25000000.00,
14.155,Mortgage Insurance for the Purchase or Refinancing of Existing Multifamily Housing Projects,consistency,3900000000.00,
14.167,"Mortgage Insurance_Two Year Operating Loss Loans, Section 223(d)",consistency,4000000.00,
14.183,Home Equity Conversion Mortgages,consistency,16715037124.00,
14.188,Housing Finance Agencies (HFA) Risk Sharing,consistency,300000000.00,
14.189,Qualified Participating Entities (QPE) Risk Sharing,consistency,30000000.00,
14.248,Community Development Block Grants_Section 108 Loan Guarantees,consistency,275000000.00,
14.865,Public and Indian Housing_Indian Loan Guarantee Program,consistency,919000000.00,
14.869,Title VI Federal Guarantees for Financing Tribal Housing Activities,consistency,18000000.00,
14.874,Loan Guarantees for Native Hawaiian Housing ,consistency,41504000.00,
20.316,Railroad Rehabilitation and Improvement Financing Program,consistency,600000000.00,
20.802,Federal Ship Financing Guarantees,consistency,1420000.00,
64.116,Vocational Rehabilitation for Disabled Veterans,consistency,2298000.00,
70.002,Foreign Investment Financing,consistency,2350000000.00,
