CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
23.001,Appalachian Regional Development (See individual Appalachian Programs),consistency,68286799.00
23.002,Appalachian Area Development,consistency,68286799.00
23.003,Appalachian Development Highway System,consistency,323953630.00
23.009,Appalachian Local Development District Assistance,consistency,6982160.00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,929971.00
94.002,Retired and Senior Volunteer Program,consistency,56870000.00
94.003,State Commissions,consistency,11742738.00
94.006,AmeriCorps,consistency,226792326.00
94.007,Planning and Program Development Grants,consistency,1.00
94.011,Foster Grandparent Program,consistency,108574000.00
94.016,Senior Companion Program,consistency,45494000.00
94.017,Senior Demonstration Program,consistency,323000.00
90.100,Denali Commission Program,consistency,21000000.00
90.201,Delta Area Economic Development,consistency,7789000.00
90.202,Delta Local Development District Assistance,consistency,396000.00
90.300,Japan-US Friendship Commission Grants,consistency,1569383.00
90.400,Help America Vote College Program,consistency,750000.00
90.402,Help America Vote Mock Election Program,consistency,200000.00
90.500,International Broadcasting Independent Grantee Organizations,consistency,207552000.00
10.202,Cooperative Forestry Research,consistency,23420475.00
10.203,Payments to Agricultural Experiment Stations Under the Hatch Act,consistency,184555935.00
10.205,Payments to 1890 Land-Grant Colleges and Tuskegee University,consistency,38719803.00
10.207,Animal Health and Disease Research,consistency,4614897.00
10.222,Tribal Colleges Endowment Program,consistency,3080640.00
10.500,Cooperative Extension Service,consistency,433701675.00
10.555,National School Lunch Program,consistency,8209848000.00
10.556,Special Milk Program for Children,consistency,15120000.00
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",consistency,6250280000.00
10.558,Child and Adult Care Food Program,consistency,2286629000.00
10.559,Summer Food Service Program for Children,consistency,312637000.00
10.560,State Administrative Expenses for Child Nutrition,consistency,174134000.00
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,consistency,2620000000.00
10.565,Commodity Supplemental Food Program,consistency,140806821.00
10.568,Emergency Food Assistance Program (Administrative Costs),consistency,49650000.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,140000000.00
10.572,WIC Farmers' Market Nutrition Program (FMNP),consistency,19860000.00
10.666,Schools and Roads - Grants to Counties,consistency,15718200.00
10.221,Tribal Colleges Education Equity Grants,completeness,3318606.00
10.553,School Breakfast Program,consistency,2393028000.00
10.001,Agricultural Research_Basic and Applied Research,consistency,20295111.00
10.156,Federal-State Marketing Improvement Program,consistency,3186537.00
10.168,Farmers' Market Promotion Program,consistency,3000000.00
10.169,Specialty Crop Block Grant Program,consistency,8422000.00
10.170,Specialty Crop Block Grant Program - Farm Bill,consistency,10000000.00
10.200,"Grants for Agricultural Research, Special Research Grants",consistency,99827359.00
10.206,Grants for Agricultural Research_Competitive Research Grants,consistency,175778719.00
10.210,Food and Agricultural Sciences National Needs Graduate Fellowship Grants,consistency,3477077.00
10.212,Small Business Innovation Research,consistency,15443175.00
10.215,Sustainable Agriculture Research and Education,consistency,13476996.00
10.216,1890 Institution Capacity Building Grants,consistency,12798776.00
10.217,Higher Education Challenge Grants,consistency,5140057.00
10.219,Biotechnology Risk Assessment Research,consistency,1980054.00
10.220,Higher Education Multicultural Scholars Program,consistency,941841.00
