CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
23.002,Appalachian Area Development,consistency,58917132.00
23.003,Appalachian Development Highway System,consistency,423820097.00
23.009,Appalachian Local Development District Assistance,consistency,6134562.00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,763536.00
94.007,Planning and Program Development Grants,consistency,9029000.00
90.100,Denali Commission Program,consistency,111000000.00
90.201,Delta Area Economic Development,consistency,8015805.00
90.202,Delta Local Development District Assistance,consistency,396000.00
90.300,Japan-US Friendship Commission Grants,consistency,2655000.00
90.500,International Broadcasting Independent Grantee Organizations,consistency,200228000.00
10.222,Tribal Colleges Endowment Program,consistency,3119628.00
10.555,National School Lunch Program,consistency,7836173913.00
10.556,Special Milk Program for Children,consistency,14224678.00
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",consistency,5547776650.00
10.558,Child and Adult Care Food Program,consistency,2303732494.00
10.559,Summer Food Service Program for Children,consistency,297932607.00
10.565,Commodity Supplemental Food Program,consistency,107828081.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,130640006.00
10.572,WIC Farmers' Market Nutrition Program (FMNP),consistency,22109323.00
10.680,Forest Health Protection,consistency,40000000.00
10.553,School Breakfast Program,consistency,2228842422.00
10.001,Agricultural Research_Basic and Applied Research,consistency,20295111.00
10.025,"Plant and Animal Disease, Pest Control, and Animal Care",consistency,164399210.00
10.028,Wildlife Services,consistency,365000.00
10.156,Federal-State Marketing Improvement Program,consistency,1334000.00
10.168,Farmers' Market Promotion Program,completeness,1000000.00
10.169,Specialty Crop Block Grant Program,completeness,6930000.00
10.290,Agricultural Market and Economic Research,consistency,2873761.00
10.305,International Science and Education Grants,consistency,950400.00
10.352,Value-Added Producer Grants,consistency,21637622.00
10.405,Farm Labor Housing Loans and Grants,consistency,55440000.00
10.415,Rural Rental Housing Loans,consistency,36382000.00
10.417,Very Low-Income Housing Repair Loans and Grants,consistency,29700000.00
10.420,Rural Self-Help Housing Technical Assistance,completeness,30550000.00
10.433,Rural Housing Preservation Grants,completeness,9900000.00
10.435,State Mediation Grants,consistency,4207500.00
10.441,Technical and Supervisory Assistance Grants,consistency,1000000.00
10.442,Housing Application Packaging Grants,consistency,30000.00
10.446,Rural Community Development Initiative,consistency,6200000.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),completeness,0.00
10.456,Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers),consistency,4000000.00
